YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WV03
1969,7,4,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,-999.0,,,,
1969,7,6,20.0,30.0,,,,,,,1736.0,0.0,96.0,,,,0.0,0.0,,98.96000000000001,71.06,804.0,140.0,,,,,72.0,,,98.0,1.0,,9999.0,,,,,9999.0,,,,,,,9999.0,,,,
1969,7,7,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,
1969,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,99.0,,,,,,,,,,,
1969,7,9,20.0,30.0,,,,,,,1454.0,0.0,93.0,,,,0.0,0.0,,95.0,73.94,780.0,150.0,,,158.0,,76.0,,,123.0,-9999.0,,-9999.0,,,,,-9999.0,,,,,,,1.0,,,,
1969,7,10,,,,,,,,,,,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,-9.0,,,,,,,-9.0,,,,,,,,,,,
1969,7,11,30.0,40.0,,,,,,,118.0,,85.0,,,,0.0,0.0,,96.08000000000001,75.92,720.0,160.0,,,,,58.0,,,87.0,999.0,,1.0,,,,,999.0,,,,,,,1.0,,,,
1969,7,12,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,
1969,7,14,30.0,50.0,,,,,,,1824.0,0.0,90.0,,,,0.0,0.0,,100.03999999999999,71.96,750.0,140.0,,,,,54.0,,,72.0,9999.0,,9999.0,,,,,9999.0,,,,,,,9999.0,,,,
1969,7,15,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,-99.0,,-99.0,,,,,-99.0,,,,,,,-99.0,,,,
1969,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,,,,99.0,,,,,,,99.0,,,,
1969,7,17,100.0,100.0,,,,,,,1600.0,0.0,10.0,,,,0.0,0.0,,84.02,75.02,78.0,180.0,,,180.0,,58.0,,,82.0,-9999.0,,-9999.0,,,,,1.0,,,,,,,1.0,,,,
1969,7,18,,,,,,,,,,,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,-9.0,,-9.0,,,,,,,,,,,,,,,,
1969,7,19,80.0,90.0,,,,,,,342.0,0.0,64.0,,,,0.0,0.0,,96.08000000000001,73.04,540.0,180.0,,,,,45.0,,,62.0,999.0,,999.0,,,,,999.0,,,,,,,999.0,,,,
1969,7,20,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,-999.0,,-999.0,,,,,-999.0,,,,,,,-999.0,,,,
1969,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
1969,7,22,30.0,50.0,,,,,,,1118.0,0.0,89.0,,,,0.0,0.0,,100.03999999999999,69.98,738.0,260.0,,,,,45.0,,,72.0,1.0,,9999.0,,,,,9999.0,,,,,,,9999.0,,,,
1969,7,23,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,
1969,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,99.0,,,,,,,,,,,
1969,7,25,50.0,70.0,,,,,,,1506.0,30.0,50.0,,,,0.0,0.0,,91.94,69.08,414.0,130.0,,,158.0,,76.0,,,82.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,
1969,7,26,,,,,,,,,,0.0,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1969,7,27,70.0,80.0,,,,,,,500.0,,78.0,,,,0.0,0.0,,91.94,71.96,648.0,230.0,,,,,45.0,,,57.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,
1969,7,28,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,9.0,,,,
1969,7,30,60.0,80.0,,,,,,,1512.0,231.0,56.0,,,,0.0,0.0,,95.0,73.04,462.0,40.0,,,,,94.0,,,134.0,9999.0,,1.0,,,,,9999.0,,,,,,,1.0,,,,
1969,7,31,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1969,8,1,70.0,90.0,,,,,,,1412.0,386.0,39.0,,,,0.0,0.0,,89.06,73.94,318.0,350.0,,,360.0,,63.0,,,98.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,
1969,8,2,,,,,,,,,,0.0,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,8,3,40.0,30.0,,,,,,,112.0,0.0,91.0,,,,0.0,0.0,,93.02,69.98,738.0,190.0,,,,,40.0,,,51.0,1.0,,999.0,,,,,1.0,,,,,,,999.0,,,,
1969,8,4,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,-999.0,,,,
1969,8,6,20.0,40.0,,,,,,,1630.0,0.0,94.0,,,,0.0,0.0,,93.91999999999999,73.94,768.0,140.0,,,,,54.0,,,62.0,1.0,,9999.0,,,,,1.0,,,,,,,9999.0,,,,
1969,8,7,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,-99.0,,,,
1969,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,99.0,,,,
1969,8,9,10.0,20.0,,,,,,,1224.0,0.0,100.0,,,,0.0,0.0,,95.0,69.08,810.0,130.0,,,113.0,,63.0,,,87.0,1.0,,-9999.0,,,,,1.0,,,,,,,-9999.0,,,,
1969,8,10,,,,,,,,,,0.0,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,,,-9.0,,,,,,,,,,,,-9.0,,,,
