YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV07,WV20
1952,5,15,,,,,,,,,,,,0.0,,,,,,,,14.18,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,16,,,,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,17,,,,,,,,,,,,0.0,,,,,,,,-1767.8200000000002,33.98,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,18,,,,,,,,,,,,0.0,,,,,,,,30.38,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,19,,,,,,,,,,,,0.0,,,,,,,,211.82,35.06,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,20,,,,,,,,,,,,0.0,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,22,,,,,,,,,,,,0.0,,,,,,,,1831.8200000000002,33.08,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,23,,,,,,,,,,,,0.0,,,,,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,25,,,,,,,,,,,,0.0,,,,,,,,53.96,35.96,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,26,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,27,,,,,,,,,,,,,,,,,,,,53.96,33.98,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,28,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,30,,,,,,,,,,,,3.0,,,,,,,,48.02,39.92,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,5,31,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,1,,,,,,,,,,,,0.0,,,,,,,,51.98,41.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,2,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,3,,,,,,,,,,,,0.0,,,,,,,,53.06,42.08,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,6,,,,,,,,,,,,0.0,,,,,,,,59.0,42.980000000000004,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,7,,,,,,,,,,,,0.0,,,,,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,9,,,,,,,,,,,,0.0,,,,,,,,53.06,39.02,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,10,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,11,,,,,,,,,,,,0.0,,,,,,,,51.98,42.08,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,12,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,14,,,,,,,,,,,,0.0,,,,,,,,62.959999999999994,39.02,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,15,,,,,,,,,,,,0.0,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,17,,,,,,,,,,,,0.0,,,,,,,,57.02,44.96,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,18,,,,,,,,,,,,,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,19,,,,,,,,,,,,0.0,,,,,,,,53.06,39.02,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,20,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,22,,,,,,,,,,,,0.0,,,,,,,,66.02,46.04,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,23,,,,,,,,,,,,0.0,,,,,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,25,,,,,,,,,,,,0.0,,,,,,,,62.059999999999995,44.96,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,26,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,27,,,,,,,,,,,,0.0,,,,,,,,57.02,44.06,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,28,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,30,,,,,,,,,,,,,,,,,,,,64.94,44.96,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,6,31,,,,,,,,,,,,0.0,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,1,,,,,,,,,,,,5.0,,,,,,,,62.059999999999995,44.96,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,2,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,3,,,,,,,,,,,,5.0,,,,,,,,62.959999999999994,42.980000000000004,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,6,,,,,,,,,,,,0.0,,,,,,,,64.04,42.980000000000004,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,9,,,,,,,,,,,,5.0,,,,,,,,55.04,46.94,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,10,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,11,,,,,,,,,,,,15.0,,,,,,,,57.02,46.04,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,14,,,,,,,,,,,,13.0,,,,,,,,60.08,46.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,15,,,,,,,,,,,,0.0,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,17,,,,,,,,,,,,8.0,,,,,,,,66.02,46.04,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,18,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,19,,,,,,,,,,,,109.0,,,,,,,,64.04,44.96,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,20,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,22,,,,,,,,,,,,0.0,,,,,,,,66.02,42.08,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,23,,,,,,,,,,,,0.0,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,25,,,,,,,,,,,,5.0,,,,,,,,68.0,46.04,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,26,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,27,,,,,,,,,,,,8.0,,,,,,,,60.08,44.96,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,30,,,,,,,,,,,,0.0,,,,,,,,68.0,46.94,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,31,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,1,,,,,,,,,,,,0.0,,,,,,,,66.02,53.96,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,2,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,3,,,,,,,,,,,,0.0,,,,,,,,64.04,46.04,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,4,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,6,,,,,,,,,,,,,,,,,,,,69.98,51.98,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
