YEAR,MONTH,DAY,ACMC,ACMH,ACSC,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,GAHT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFI,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFI,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV03,WV07,WV20
1933,7,27,,,,,,,,,,,,,,84.0,,,,,0.0,,,,100.94,80.96,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,28,,,,,,,,,,,,,,6.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,30,,,,,,,,,,,,,,,,,,,0.0,,,,109.03999999999999,78.08,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,7,31,,,,,,,,,,,,,,6.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,1,,,,,,,,,,,,,,3.0,,,,,,,,,102.02,80.96,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,2,,,,,,,,,,,,,,6.0,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,3,,,,,,,,,,,,,,,,,,,,,,,102.02,73.94,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,4,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,6,,,,,,,,,,,,,,,,,,,,,,,105.08000000000001,80.06,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,7,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,9,,,,,,,,,,,,,,0.0,,,,,,,,,105.98,77.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,10,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,11,,,,,,,,,,,,,,,,,,,,,,,98.96000000000001,80.96,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,12,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,14,,,,,,,,,,,,,,,,,,,,,,,113.0,78.98,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,15,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,17,,,,,,,,,,,,,,0.0,,,,,,,,,114.08000000000001,80.96,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,18,,,,,,,,,,,,,,,,,,,,,,,33.08,33.08,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,19,,,,,,,,,,,,,,,,,,,,,,,113.0,80.96,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,20,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,22,,,,,,,,,,,,,,,,,,,,,,,102.02,80.06,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,23,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,8,25,,,,,,,,,,,,,,0.0,,,,,,,,,109.94,78.08,-9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
