YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21
1948,2,1,,,,,,,,,,0.0,,,,,0.0,0.0,,68.0,50.0,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,2,,,,,,,,,,0.0,,,,,0.0,0.0,,73.04,48.02,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,3,,,,,,,,,,0.0,,,,,0.0,0.0,,71.96,55.94,,,,,,,,,,,,-9999.0,,,,,,,1.0,,,,,,1.0,,
1948,2,4,,,,,,,,,,0.0,,,,,0.0,0.0,,78.98,60.08,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,1.0,,
1948,2,5,,,,,,,,,,0.0,,,,,0.0,0.0,,80.06,55.94,,,,,,,,,,,,1.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,6,,,,,,,,,,0.0,,,,,0.0,0.0,,82.04,57.92,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,7,,,,,,,,,,0.0,,,,,0.0,0.0,,80.96,60.980000000000004,,,,,,,,,,,,1.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,8,,,,,,,,,,0.0,,,,,0.0,0.0,,82.04,64.04,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,9,,,,,,,,,,0.0,,,,,0.0,0.0,,84.02,64.94,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,10,,,,,,,,,,5.0,,,,,0.0,0.0,,78.08,66.92,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,1.0,,
1948,2,11,,,,,,,,,,0.0,,,,,0.0,0.0,,80.96,69.08,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,12,,,,,,,,,,0.0,,,,,0.0,0.0,,82.94,73.04,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,13,,,,,,,,,,0.0,,,,,0.0,0.0,,82.94,73.04,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,1.0,,
1948,2,14,,,,,,,,,,0.0,,,,,0.0,0.0,,89.06,68.0,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,15,,,,,,,,,,183.0,,,,,0.0,0.0,,73.04,64.04,,,,,,,,,,,,1.0,,,,,,,-9999.0,,,,,,1.0,,
1948,2,16,,,,,,,,,,3.0,,,,,0.0,0.0,,80.06,69.98,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,1.0,,
1948,2,17,,,,,,,,,,0.0,,,,,0.0,0.0,,84.91999999999999,66.02,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,18,,,,,,,,,,0.0,,,,,0.0,0.0,,78.98,62.959999999999994,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,1.0,,
