0.0,1.0,0.0,0.0,49.97
0.05,0.81,0.01,0.13,50.09
0.01,0.72,0.02,0.25,50.09
0.15,0.76,0.0,0.08,50.55
0.16,0.56,0.03,0.25,50.79
0.02,0.52,0.19,0.27,50.86
0.17,0.55,0.06,0.21,50.91
0.04,0.48,0.15,0.33,51.0
0.05,0.59,0.26,0.1,51.0
0.1,0.49,0.14,0.26,51.01
0.2,0.54,0.07,0.19,51.04
0.21,0.71,0.06,0.02,51.1
0.12,0.48,0.18,0.21,51.14
0.18,0.56,0.17,0.09,51.26
0.02,0.47,0.38,0.13,51.36
0.11,0.48,0.28,0.12,51.38
0.26,0.5,0.15,0.09,51.6
0.03,0.3,0.39,0.28,51.79
0.18,0.51,0.29,0.01,51.85
0.21,0.31,0.23,0.25,51.85
0.38,0.34,0.04,0.25,51.88
0.38,0.36,0.07,0.18,51.92
0.15,0.28,0.13,0.43,52.01
0.39,0.35,0.09,0.17,52.03
0.27,0.31,0.25,0.16,52.1
0.01,0.32,0.12,0.54,52.13
0.37,0.45,0.15,0.03,52.17
0.15,0.3,0.43,0.12,52.17
0.04,0.39,0.55,0.01,52.19
0.25,0.39,0.32,0.04,52.2
0.43,0.28,0.08,0.21,52.21
0.33,0.23,0.05,0.39,52.24
0.32,0.27,0.24,0.17,52.25
0.18,0.38,0.41,0.03,52.26
0.17,0.22,0.16,0.45,52.32
0.18,0.22,0.41,0.19,52.35
0.12,0.18,0.4,0.29,52.35
0.42,0.21,0.05,0.33,52.37
0.4,0.36,0.18,0.06,52.38
0.17,0.18,0.25,0.39,52.4
0.03,0.16,0.49,0.32,52.46
0.37,0.19,0.17,0.28,52.47
0.32,0.4,0.28,0.0,52.48
0.15,0.32,0.49,0.04,52.48
0.13,0.32,0.52,0.02,52.49
0.14,0.16,0.46,0.23,52.52
0.32,0.16,0.19,0.33,52.54
0.12,0.19,0.21,0.49,52.58
0.3,0.16,0.33,0.21,52.63
0.34,0.14,0.21,0.31,52.64
0.12,0.26,0.57,0.06,52.64
0.5,0.29,0.12,0.1,52.65
0.01,0.18,0.29,0.52,52.69
0.55,0.18,0.03,0.24,52.7
0.19,0.18,0.11,0.52,52.72
0.01,0.12,0.66,0.22,52.74
0.43,0.25,0.23,0.09,52.76
0.28,0.1,0.32,0.3,52.78
0.44,0.19,0.23,0.14,52.81
0.22,0.1,0.27,0.41,52.86
0.33,0.09,0.2,0.38,52.88
0.25,0.15,0.08,0.53,52.9
0.6,0.28,0.05,0.06,52.94
0.56,0.1,0.02,0.32,52.95
0.01,0.05,0.66,0.28,52.99
0.02,0.22,0.12,0.64,53.05
0.32,0.07,0.15,0.45,53.06
0.37,0.18,0.39,0.07,53.1
0.16,0.19,0.63,0.03,53.11
0.38,0.05,0.32,0.25,53.11
0.02,0.16,0.8,0.03,53.18
0.37,0.21,0.4,0.02,53.19
0.12,0.06,0.32,0.5,53.2
0.16,0.1,0.65,0.09,53.22
0.59,0.04,0.0,0.37,53.25
0.16,0.06,0.29,0.5,53.25
0.04,0.0,0.7,0.26,53.26
0.49,0.02,0.18,0.32,53.26
0.38,0.05,0.39,0.18,53.27
0.29,0.02,0.49,0.2,53.3
0.45,0.01,0.14,0.4,53.32
0.35,0.01,0.42,0.22,53.34
0.34,0.03,0.14,0.49,53.35
0.14,0.15,0.71,0.0,53.39
0.31,0.06,0.51,0.12,53.4
0.17,0.03,0.68,0.13,53.41
0.01,0.0,0.53,0.45,53.42
0.55,0.14,0.25,0.07,53.42
0.44,0.13,0.38,0.05,53.42
0.7,0.05,0.05,0.21,53.47
0.37,0.03,0.47,0.13,53.5
0.46,0.1,0.37,0.07,53.5
0.7,0.07,0.09,0.13,53.58
0.6,0.1,0.22,0.08,53.62
0.69,0.12,0.12,0.08,53.63
0.24,0.03,0.65,0.07,53.64
0.21,0.07,0.1,0.62,53.66
0.79,0.13,0.02,0.06,53.82
0.82,0.13,0.02,0.03,54.03
0.6,0.05,0.31,0.03,54.03
0.0,0.0,1.0,0.0,54.09
0.3,0.01,0.01,0.68,54.32
1.0,0.0,0.0,0.0,54.98
0.0,0.0,0.0,1.0,57.44
