YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV01,WV03,WV20
1945,7,25,,,,,,,,,,,0.0,,,,0.0,,,,77.0,48.92,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,26,,,,,,,,,,,0.0,,,,0.0,,,,66.02,51.98,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,27,,,,,,,,,,,0.0,,,,0.0,,,,66.02,51.98,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,28,,,,,,,,,,,0.0,,,,0.0,,,,75.02,50.0,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,29,,,,,,,,,,,0.0,,,,0.0,,,,73.04,53.96,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,7,30,,,,,,,,,,,0.0,,,,0.0,,,,68.0,53.06,,,,,,,,,,,,,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1945,7,31,,,,,,,,,,,0.0,,,,0.0,,,,69.08,48.92,,,,,,,,,,,,,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1945,8,1,,,,,,,,,,,0.0,,,,0.0,,,,64.04,50.0,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,8,2,,,,,,,,,,,0.0,,,,0.0,,,,64.94,48.92,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,8,3,,,,,,,,,,,0.0,,,,0.0,,,,62.959999999999994,46.94,,,,,,,,,,,,,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1945,8,4,,,,,,,,,,,0.0,,,,0.0,,,,68.0,50.0,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,8,5,,,,,,,,,,,0.0,,,,0.0,,,,69.08,53.06,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,8,6,,,,,,,,,,,0.0,,,,0.0,,,,68.0,50.0,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,8,7,,,,,,,,,,,0.0,,,,0.0,,,,60.98,51.98,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1945,8,8,,,,,,,,,,,0.0,,,,0.0,,,,64.04,50.0,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1945,8,9,,,,,,,,,,,0.0,,,,0.0,,,,68.0,48.92,,,,,,,,,,,,,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1945,8,10,,,,,,,,,,,0.0,,,,0.0,,,,64.94,53.96,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,8,11,,,,,,,,,,,0.0,,,,0.0,,,,64.04,53.06,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,8,12,,,,,,,,,,,0.0,,,,0.0,,,,59.0,53.06,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1945,8,13,,,,,,,,,,,0.0,,,,0.0,,,,69.08,53.06,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1945,8,14,,,,,,,,,,,0.0,,,,0.0,,,,62.059999999999995,53.06,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1945,8,15,,,,,,,,,,,0.0,,,,0.0,,,,66.02,51.08,,,,,,,,,,,,,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1945,8,16,,,,,,,,,,,0.0,,,,0.0,,,,66.92,51.08,,,,,,,,,,,,,1.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,8,17,,,,,,,,,,,0.0,,,,0.0,,,,69.98,48.02,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,
1945,8,18,,,,,,,,,,,0.0,,,,0.0,,,,82.04,53.96,,,,,,,,,,,,,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1945,8,19,,,,,,,,,,,0.0,,,,0.0,,,,71.06,53.96,,,,,,,,,,,,,1.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1945,8,20,,,,,,,,,,,0.0,,,,0.0,,,,75.92,51.08,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,-9999.0,,,,,
